,status_of_existing_checking_account,duration_(months),credit_history,purpose,credit_amount,savings_account/bonds,present_employment_since,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_of_existing_credits,job,no._of_people_being_liable_to_provide_maintenance,telephone,foreign_worker,class
0,A11,0-10,A34,A43,0-2500,A65,A75,4,A93,A101,4,A121,60-70,A143,A152,2,A173,1,A192,A201,1
1,A12,40-50,A32,A43,5000-7500,A61,A73,2,A92,A101,2,A121,20-30,A143,A152,1,A173,1,A191,A201,2
2,A14,10-20,A34,A46,0-2500,A61,A74,2,A93,A101,3,A121,40-50,A143,A152,1,A172,2,A191,A201,1
3,A11,40-50,A32,A42,7500-10000,A61,A74,2,A93,A103,4,A122,40-50,A143,A153,1,A173,2,A191,A201,1
4,A11,20-30,A33,A40,2500-5000,A61,A73,3,A93,A101,4,A124,50-60,A143,A153,2,A173,2,A191,A201,2
5,A14,30-40,A32,A46,7500-10000,A65,A73,2,A93,A101,4,A124,30-40,A143,A153,1,A172,2,A192,A201,1
6,A14,20-30,A32,A42,2500-5000,A63,A75,3,A93,A101,4,A122,50-60,A143,A152,1,A173,1,A191,A201,1
7,A12,30-40,A32,A41,5000-7500,A61,A73,2,A93,A101,2,A123,30-40,A143,A151,1,A174,1,A192,A201,1
8,A14,10-20,A32,A43,2500-5000,A64,A74,2,A91,A101,4,A121,60-70,A143,A152,1,A172,1,A191,A201,1
9,A12,20-30,A34,A40,5000-7500,A61,A71,4,A94,A101,2,A123,20-30,A143,A152,2,A174,1,A191,A201,2
10,A12,10-20,A32,A40,0-2500,A61,A72,3,A92,A101,1,A123,20-30,A143,A151,1,A173,1,A191,A201,2
11,A11,40-50,A32,A49,2500-5000,A61,A72,3,A92,A101,4,A122,20-30,A143,A151,1,A173,1,A191,A201,2
12,A12,10-20,A32,A43,0-2500,A61,A73,1,A92,A101,1,A123,20-30,A143,A152,1,A173,1,A192,A201,1
13,A11,20-30,A34,A40,0-2500,A61,A75,4,A93,A101,4,A123,50-60,A143,A152,2,A172,1,A191,A201,2
14,A11,10-20,A32,A40,0-2500,A61,A73,2,A92,A101,4,A123,20-30,A143,A151,1,A173,1,A191,A201,1
15,A11,20-30,A32,A43,0-2500,A62,A73,4,A92,A101,2,A123,30-40,A143,A152,1,A172,1,A191,A201,2
16,A14,20-30,A34,A43,0-2500,A65,A75,4,A93,A101,4,A122,50-60,A143,A152,2,A173,1,A191,A201,1
17,A11,20-30,A30,A49,7500-10000,A65,A72,2,A93,A101,3,A123,20-30,A141,A152,3,A173,1,A191,A201,1
18,A12,20-30,A32,A41,12500-15000,A61,A75,4,A92,A101,2,A124,40-50,A143,A153,1,A174,1,A192,A201,2
19,A14,20-30,A32,A43,2500-5000,A63,A75,3,A93,A101,2,A123,30-40,A143,A152,1,A173,2,A192,A201,1
20,A14,0-10,A34,A40,0-2500,A61,A73,4,A93,A101,4,A123,40-50,A143,A152,3,A173,1,A192,A201,1
21,A11,0-10,A32,A43,2500-5000,A63,A73,2,A93,A101,3,A121,40-50,A143,A151,1,A173,2,A191,A201,1
22,A11,0-10,A34,A40,0-2500,A61,A72,1,A93,A101,3,A121,40-50,A143,A151,2,A172,2,A191,A202,1
23,A12,10-20,A34,A41,0-2500,A62,A72,3,A93,A101,4,A122,40-50,A143,A152,1,A173,1,A191,A201,1
24,A14,0-10,A34,A42,0-2500,A65,A73,2,A94,A101,1,A123,20-30,A143,A152,2,A173,1,A191,A202,1
25,A11,0-10,A32,A42,0-2500,A61,A73,1,A93,A101,2,A121,30-40,A141,A152,1,A172,1,A192,A201,1
26,A14,0-10,A30,A43,0-2500,A61,A75,4,A94,A101,4,A123,30-40,A143,A152,1,A172,1,A191,A201,1
27,A13,10-20,A31,A43,0-2500,A64,A73,3,A92,A101,3,A121,40-50,A143,A151,2,A173,1,A191,A201,1
28,A12,0-10,A32,A43,0-2500,A61,A73,3,A93,A103,2,A121,30-40,A143,A152,1,A173,1,A191,A201,1
29,A11,50-60,A33,A49,5000-7500,A61,A75,3,A93,A101,4,A124,60-70,A143,A152,2,A173,1,A192,A201,2
30,A12,10-20,A32,A49,0-2500,A64,A72,3,A94,A101,3,A121,30-40,A141,A152,1,A173,1,A192,A201,1
31,A11,20-30,A32,A42,2500-5000,A61,A73,2,A93,A101,2,A123,20-30,A142,A152,1,A173,1,A191,A201,1
32,A12,10-20,A32,A40,5000-7500,A62,A73,2,A93,A101,2,A123,20-30,A143,A152,2,A173,1,A192,A201,1
33,A14,10-20,A34,A49,0-2500,A65,A75,4,A93,A101,4,A124,50-60,A143,A151,1,A172,1,A191,A201,1
34,A13,10-20,A32,A42,0-2500,A61,A72,4,A92,A101,1,A122,30-40,A141,A152,1,A174,1,A192,A201,1
35,A12,40-50,A34,A43,2500-5000,A61,A72,4,A93,A101,2,A122,20-30,A143,A152,2,A172,1,A191,A201,2
36,A14,40-50,A34,A46,5000-7500,A61,A73,1,A93,A101,3,A124,30-40,A141,A153,1,A173,1,A192,A201,1
37,A13,10-20,A32,A43,0-2500,A61,A73,4,A93,A102,2,A121,30-40,A142,A152,1,A173,1,A191,A201,2
38,A13,0-10,A32,A44,0-2500,A61,A73,2,A93,A101,2,A123,30-40,A143,A152,1,A173,1,A192,A201,1
39,A12,0-10,A32,A43,0-2500,A61,A73,4,A93,A101,3,A121,20-30,A143,A152,1,A173,1,A191,A201,1
40,A14,20-30,A32,A43,0-2500,A63,A75,4,A93,A101,2,A123,20-30,A141,A152,1,A174,1,A191,A201,1
41,A12,10-20,A32,A43,0-2500,A63,A73,3,A91,A101,1,A123,20-30,A143,A152,1,A173,1,A192,A201,1
42,A12,10-20,A33,A45,5000-7500,A61,A73,2,A93,A101,4,A121,40-50,A143,A152,1,A172,2,A192,A201,1
43,A11,20-30,A34,A41,5000-7500,A62,A74,1,A94,A101,4,A123,20-30,A143,A151,2,A173,1,A191,A201,1
44,A11,40-50,A34,A41,5000-7500,A61,A75,4,A92,A101,4,A124,50-60,A142,A153,2,A172,1,A191,A201,2
45,A14,10-20,A34,A40,0-2500,A61,A72,4,A92,A101,4,A123,30-40,A143,A152,2,A174,1,A191,A201,1
46,A14,30-40,A32,A43,0-2500,A63,A75,4,A93,A101,4,A123,30-40,A143,A152,1,A173,1,A191,A201,1
47,A11,0-10,A32,A41,0-2500,A63,A71,1,A92,A101,2,A122,20-30,A143,A151,1,A171,1,A192,A201,1
48,A14,10-20,A34,A40,5000-7500,A61,A73,1,A93,A101,4,A122,30-40,A143,A152,2,A172,1,A191,A201,1
49,A14,10-20,A32,A43,0-2500,A62,A73,4,A92,A102,2,A121,20-30,A143,A152,1,A173,1,A191,A201,1
50,A12,20-30,A33,A42,0-2500,A65,A72,4,A93,A101,2,A122,20-30,A141,A152,1,A172,1,A191,A201,1
51,A12,20-30,A33,A41,5000-7500,A61,A75,1,A93,A101,2,A123,20-30,A143,A152,2,A174,1,A192,A201,1
52,A14,10-20,A32,A43,0-2500,A61,A73,3,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,1
53,A14,10-20,A32,A41,2500-5000,A65,A73,2,A93,A101,1,A122,30-40,A143,A152,1,A173,1,A192,A201,1
54,A12,30-40,A33,A40,0-2500,A61,A75,4,A93,A101,4,A124,50-60,A141,A153,2,A173,1,A192,A201,2
55,A14,0-10,A31,A40,0-2500,A65,A73,1,A93,A103,2,A121,20-30,A142,A152,1,A172,2,A191,A201,1
56,A12,10-20,A32,A43,5000-7500,A65,A71,2,A93,A101,1,A124,50-60,A143,A152,1,A174,1,A192,A201,2
57,A14,30-40,A34,A43,7500-10000,A61,A73,2,A92,A101,2,A123,30-40,A142,A152,2,A173,1,A191,A201,1
58,A13,10-20,A32,A40,0-2500,A61,A75,3,A92,A101,2,A123,20-30,A143,A152,1,A174,1,A191,A201,1
59,A11,30-40,A34,A42,5000-7500,A61,A72,4,A92,A102,4,A124,20-30,A143,A151,2,A172,1,A192,A201,2
60,A12,0-10,A32,A49,0-2500,A61,A73,2,A94,A101,1,A121,20-30,A141,A152,1,A173,1,A192,A201,1
61,A12,10-20,A34,A43,0-2500,A65,A75,4,A93,A103,4,A121,40-50,A143,A152,2,A173,1,A192,A201,1
62,A12,30-40,A30,A49,0-2500,A61,A75,4,A93,A101,4,A124,60-70,A143,A153,1,A174,1,A192,A201,2
63,A12,40-50,A30,A49,12500-15000,A61,A73,2,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A192,A201,2
64,A14,20-30,A32,A43,2500-5000,A61,A72,4,A92,A101,4,A122,20-30,A143,A152,1,A173,1,A192,A201,1
65,A14,20-30,A32,A45,5000-7500,A65,A75,4,A93,A101,4,A122,40-50,A143,A152,4,A173,2,A192,A201,1
66,A14,10-20,A32,A43,0-2500,A61,A72,2,A92,A101,2,A123,20-30,A141,A152,1,A173,1,A191,A201,1
67,A12,10-20,A32,A40,0-2500,A64,A73,4,A94,A101,1,A121,20-30,A143,A152,1,A173,1,A191,A201,1
68,A14,30-40,A32,A46,0-2500,A61,A73,4,A93,A101,4,A124,30-40,A142,A153,1,A173,1,A192,A201,2
69,A14,30-40,A32,A43,0-2500,A65,A73,4,A92,A101,4,A123,20-30,A143,A152,1,A173,1,A191,A201,1
70,A14,30-40,A32,A41,7500-10000,A61,A73,1,A92,A101,2,A122,20-30,A141,A152,1,A173,1,A191,A201,1
71,A14,0-10,A34,A43,0-2500,A65,A75,4,A93,A101,2,A122,40-50,A143,A151,2,A172,1,A192,A201,1
72,A11,0-10,A34,A410,0-2500,A61,A75,3,A93,A101,4,A124,50-60,A141,A153,2,A174,2,A192,A201,1
73,A12,40-50,A34,A49,5000-7500,A61,A74,2,A92,A101,1,A121,40-50,A141,A152,2,A172,1,A191,A201,1
74,A11,30-40,A32,A46,0-2500,A65,A75,4,A93,A101,4,A124,30-40,A143,A152,1,A174,1,A192,A201,2
75,A11,10-20,A34,A41,0-2500,A61,A75,4,A93,A101,4,A124,60-70,A143,A153,2,A174,1,A191,A201,1
76,A11,40-50,A32,A43,2500-5000,A61,A72,4,A93,A101,3,A123,30-40,A143,A152,1,A173,1,A191,A201,2
77,A12,10-20,A33,A43,2500-5000,A61,A74,2,A93,A101,4,A122,50-60,A143,A152,1,A173,1,A191,A201,1
78,A14,50-60,A30,A41,7500-10000,A65,A73,2,A93,A101,2,A122,30-40,A143,A152,1,A172,2,A191,A201,1
79,A12,20-30,A32,A42,2500-5000,A61,A72,2,A94,A101,1,A122,20-30,A143,A152,1,A173,1,A191,A201,1
80,A14,20-30,A32,A43,5000-7500,A65,A72,1,A92,A101,1,A123,40-50,A143,A152,2,A173,1,A192,A201,2
81,A14,10-20,A32,A43,0-2500,A63,A75,4,A93,A101,3,A122,40-50,A142,A152,1,A173,1,A192,A201,1
82,A14,10-20,A32,A49,0-2500,A62,A73,3,A92,A101,4,A122,20-30,A143,A151,1,A172,1,A191,A201,1
83,A11,20-30,A32,A410,0-2500,A61,A75,4,A92,A103,4,A121,50-60,A143,A152,1,A172,1,A192,A201,1
84,A11,0-10,A32,A43,0-2500,A61,A75,3,A93,A101,4,A121,50-60,A143,A152,1,A172,1,A191,A201,1
85,A14,10-20,A34,A49,0-2500,A61,A73,4,A92,A103,2,A121,20-30,A143,A152,2,A174,1,A192,A201,1
86,A12,10-20,A34,A42,0-2500,A61,A72,4,A92,A101,1,A122,20-30,A143,A152,2,A173,1,A191,A201,1
87,A12,30-40,A32,A46,12500-15000,A62,A73,1,A93,A101,4,A124,40-50,A143,A153,1,A173,2,A192,A201,2
88,A11,10-20,A32,A40,0-2500,A62,A74,4,A93,A101,3,A123,20-30,A143,A152,1,A174,2,A192,A201,1
89,A11,10-20,A30,A45,0-2500,A61,A74,4,A93,A101,3,A121,20-30,A143,A152,2,A173,1,A191,A201,2
90,A14,10-20,A34,A43,0-2500,A61,A75,4,A93,A101,4,A121,50-60,A143,A152,1,A173,1,A191,A201,1
91,A11,10-20,A34,A41,0-2500,A61,A75,4,A93,A101,3,A121,50-60,A143,A152,1,A173,1,A191,A201,1
92,A14,10-20,A34,A43,0-2500,A65,A75,4,A92,A101,3,A122,30-40,A141,A152,1,A172,2,A191,A201,2
93,A13,20-30,A34,A42,2500-5000,A65,A75,4,A93,A102,4,A124,10-20,A143,A151,2,A173,1,A191,A201,1
94,A12,10-20,A32,A40,0-2500,A64,A75,4,A93,A101,4,A121,50-60,A143,A152,1,A173,1,A192,A201,1
95,A12,50-60,A30,A49,15000-17500,A61,A72,3,A93,A101,4,A124,50-60,A143,A151,1,A173,1,A192,A201,2
96,A14,10-20,A34,A46,0-2500,A65,A74,4,A92,A101,2,A123,60-70,A143,A152,1,A173,1,A191,A201,1
97,A12,10-20,A32,A49,2500-5000,A62,A73,4,A93,A101,4,A123,30-40,A143,A152,1,A173,1,A191,A201,1
98,A12,30-40,A34,A43,0-2500,A61,A75,4,A93,A101,4,A121,30-40,A143,A152,1,A173,1,A191,A201,1
