,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0,800-1200,0,2.0-2.5,0,0.0-5.0,0,0-20,0.4-0.6,160-200,2,0.0-5.0,0-500,400-800,2000-3000,8-11,5.0-10.0,15.0-20.0,0,0,1,1
1,800-1200,1,0.5-1.0,1,0.0-5.0,1,40-60,0.6-0.8,120-160,3,5.0-10.0,500-1000,1600-2000,2000-3000,14-17,0.0-5.0,5.0-10.0,1,1,0,2
2,400-800,1,0.5-1.0,1,0.0-5.0,1,40-60,0.8-1.0,120-160,5,5.0-10.0,1000-1500,1600-2000,2000-3000,8-11,0.0-5.0,5.0-10.0,1,1,0,2
3,400-800,1,2.0-2.5,0,0.0-5.0,0,0-20,0.6-0.8,120-160,6,5.0-10.0,1000-1500,1600-2000,2000-3000,14-17,5.0-10.0,10.0-15.0,1,0,0,2
4,1600-2000,1,1.0-1.5,0,10.0-15.0,1,40-60,0.4-0.6,120-160,2,10.0-15.0,1000-1500,1200-1600,1000-2000,5-8,0.0-5.0,10.0-15.0,1,1,0,1
5,1600-2000,0,0.5-1.0,1,0.0-5.0,0,20-40,0.6-0.8,160-200,1,5.0-10.0,1000-1500,1600-2000,1000-2000,14-17,0.0-5.0,5.0-10.0,1,0,0,1
6,1600-2000,0,1.5-2.0,0,0.0-5.0,1,0-20,0.6-0.8,120-160,8,5.0-10.0,0-500,800-1200,3000-4000,11-14,5.0-10.0,15.0-20.0,1,0,1,3
7,1600-2000,0,0.5-1.0,1,0.0-5.0,0,20-40,0.6-0.8,160-200,4,0.0-5.0,500-1000,800-1200,0-1000,14-17,0.0-5.0,0.0-5.0,1,1,1,0
8,1200-1600,1,0.5-1.0,0,0.0-5.0,0,40-60,0.6-0.8,160-200,7,10.0-15.0,0-500,800-1200,1000-2000,14-17,0.0-5.0,15.0-20.0,1,0,0,0
9,400-800,1,0.5-1.0,1,0.0-5.0,1,0-20,0-0.2,80-120,5,10.0-15.0,1000-1500,1200-1600,0-1000,17-20,5.0-10.0,10.0-15.0,1,0,0,0
10,400-800,1,2.5-3.0,1,0.0-5.0,0,0-20,0-0.2,160-200,5,0.0-5.0,0-500,800-1200,3000-4000,5-8,0.0-5.0,5.0-10.0,0,0,0,3
11,1200-1600,1,2.0-2.5,0,0.0-5.0,1,20-40,0.4-0.6,160-200,8,15.0-20.0,0-500,800-1200,3000-4000,11-14,5.0-10.0,10.0-15.0,1,1,1,3
12,1600-2000,0,2.5-3.0,0,0.0-5.0,0,20-40,0.4-0.6,120-160,4,15.0-20.0,500-1000,400-800,1000-2000,17-20,0.0-5.0,0.0-5.0,1,0,0,1
13,800-1200,1,2.0-2.5,0,5.0-10.0,0,0-20,0.8-1.0,160-200,4,10.0-15.0,0-500,1200-1600,2000-3000,5-8,0.0-5.0,0.0-5.0,1,0,1,2
14,1600-2000,0,0.5-1.0,0,10.0-15.0,1,40-60,0.6-0.8,160-200,1,15.0-20.0,0-500,400-800,0-1000,11-14,5.0-10.0,0.0-5.0,1,0,1,0
15,400-800,0,0.5-1.0,0,0.0-5.0,0,40-60,0.6-0.8,120-160,2,15.0-20.0,500-1000,1600-2000,0-1000,14-17,10.0-15.0,10.0-15.0,1,1,1,0
16,800-1200,0,0.5-1.0,0,0.0-5.0,1,0-20,0-0.2,160-200,8,0.0-5.0,500-1000,1600-2000,3000-4000,8-11,5.0-10.0,15.0-20.0,1,0,1,3
17,400-800,0,0.5-1.0,1,5.0-10.0,1,20-40,0-0.2,120-160,3,15.0-20.0,0-500,800-1200,3000-4000,8-11,0.0-5.0,15.0-20.0,1,1,0,3
18,800-1200,1,0.5-1.0,1,10.0-15.0,0,40-60,0.4-0.6,80-120,5,15.0-20.0,500-1000,800-1200,1000-2000,17-20,10.0-15.0,15.0-20.0,1,1,0,1
19,400-800,1,0.5-1.0,0,0.0-5.0,0,0-20,0.8-1.0,120-160,4,10.0-15.0,500-1000,800-1200,2000-3000,8-11,0.0-5.0,15.0-20.0,0,1,1,1
20,400-800,0,1.0-1.5,1,10.0-15.0,0,20-40,0.6-0.8,80-120,7,10.0-15.0,1000-1500,1600-2000,2000-3000,14-17,10.0-15.0,0.0-5.0,1,1,0,3
21,1600-2000,1,2.0-2.5,0,0.0-5.0,0,0-20,0.8-1.0,120-160,2,0.0-5.0,500-1000,1200-1600,3000-4000,14-17,0.0-5.0,10.0-15.0,1,0,0,3
22,1600-2000,0,2.5-3.0,1,0.0-5.0,0,40-60,0.2-0.4,160-200,4,5.0-10.0,0-500,800-1200,1000-2000,8-11,0.0-5.0,15.0-20.0,0,0,1,1
23,1600-2000,1,2.5-3.0,1,0.0-5.0,1,20-40,0.6-0.8,80-120,3,15.0-20.0,0-500,400-800,1000-2000,5-8,5.0-10.0,15.0-20.0,1,0,0,0
24,400-800,0,1.0-1.5,1,0.0-5.0,1,0-20,0.2-0.4,80-120,3,10.0-15.0,0-500,1200-1600,2000-3000,8-11,0.0-5.0,10.0-15.0,1,0,0,1
25,800-1200,1,1.0-1.5,1,0.0-5.0,1,40-60,0.4-0.6,80-120,8,0.0-5.0,0-500,1200-1600,2000-3000,17-20,5.0-10.0,5.0-10.0,1,1,1,2
26,400-800,1,1.5-2.0,1,5.0-10.0,1,40-60,0.2-0.4,120-160,4,15.0-20.0,500-1000,400-800,3000-4000,14-17,0.0-5.0,0.0-5.0,1,0,1,3
27,800-1200,0,0.5-1.0,0,0.0-5.0,1,40-60,0.8-1.0,120-160,7,5.0-10.0,500-1000,800-1200,3000-4000,14-17,5.0-10.0,10.0-15.0,1,1,0,3
28,1200-1600,0,1.5-2.0,1,10.0-15.0,1,40-60,0.2-0.4,80-120,2,15.0-20.0,0-500,1200-1600,2000-3000,8-11,0.0-5.0,5.0-10.0,1,1,1,2
29,800-1200,0,0.5-1.0,0,0.0-5.0,0,20-40,0.2-0.4,160-200,5,5.0-10.0,1000-1500,1200-1600,0-1000,11-14,5.0-10.0,5.0-10.0,1,0,1,0
30,1200-1600,1,0.5-1.0,1,0.0-5.0,0,0-20,0-0.2,80-120,7,5.0-10.0,1000-1500,1600-2000,3000-4000,14-17,10.0-15.0,10.0-15.0,0,0,1,3
31,1200-1600,1,0.5-1.0,0,15.0-20.0,0,20-40,0.8-1.0,120-160,8,15.0-20.0,0-500,400-800,0-1000,5-8,0.0-5.0,5.0-10.0,1,1,1,0
