x,y,z,roll,pitch,yaw,thumb,fore,index,ring,receiver values,word
0,0,0,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0,0,0,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.007812,0,0,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0,0.007812,0,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0,0.007812,0,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.007812,0.023438,0,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.039062,0.046875,-0.007812,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.046875,0.078125,-0.015625,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.070312,0.117188,-0.023438,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.070312,0.148438,-0.03125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.046875,0.179688,-0.039062,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.03125,0.234375,-0.054688,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.007812,0.242188,-0.0625,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.101562,0.273438,-0.070312,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.171875,0.289062,-0.070312,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.1875,0.3125,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.179688,0.328125,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.132812,0.328125,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.117188,0.320312,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.085938,0.304688,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.070312,0.289062,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.101562,0.289062,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.179688,0.289062,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.210938,0.273438,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.210938,0.273438,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.203125,0.289062,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.203125,0.257812,-0.078125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.164062,0.257812,-0.070312,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.140625,0.257812,-0.0625,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.101562,0.257812,-0.054688,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.070312,0.242188,-0.046875,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.046875,0.234375,-0.03125,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.015625,0.21875,-0.023438,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
-0.023438,0.203125,-0.007812,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0,0.171875,0,0.083333,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.0625,0.148438,0,0.083333,-1,-1,0,0.75,0.75,0.5, 0x3E,which
-0.007812,0.132812,0,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.015625,0.109375,0.007812,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.007812,0.054688,0.015625,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0,0.039062,0.015625,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
0.015625,0,0.015625,0,-1,-1,0,0.75,0.75,0.5, 0x3F,which
